,koi_disposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_tce_plnt_num,koi_steff_err1,koi_steff_err2,ra,dec
107,1,1.0,0.08,0.329,-0.08,1.0,0.2981366459627329,0.6976744186046512,0.47562584676948205,0.25511524476897884
108,1,1.0,0.529,0.021,-0.46,3.0,0.24462494027711418,0.7093023255813953,0.7814525522662574,0.7446032059108196
109,1,0.998,0.949,0.028,-0.673,3.0,0.2981366459627329,0.6976744186046512,0.47562584676948205,0.25511524476897884
110,1,1.0,0.911,0.025,-0.663,2.0,0.2981366459627329,0.6976744186046512,0.47562584676948205,0.25511524476897884
111,1,0.99,0.12,0.006,-0.084,1.0,0.31342570473005255,0.6821705426356589,0.4812133027747265,0.25607153939043314
113,1,1.0,0.517,0.237,-0.325,1.0,0.6459627329192547,0.10077519379844957,0.6632315401342534,0.2044758659802186
114,1,1.0,0.416,0.053,-0.416,1.0,0.2866698518872432,0.6782945736434108,0.16845455633587392,0.21258305240818443
115,1,1.0,0.573,0.0,-0.468,1.0,0.27902532250358336,0.6782945736434108,0.3987907584586132,0.22124603947234345
119,1,0.992,0.173,0.262,-0.173,1.0,0.24462494027711418,0.7093023255813953,0.7814525522662574,0.7446032059108196
120,1,1.0,0.053,0.394,-0.053,1.0,0.6344959388437649,0.3565891472868217,0.6765963511308826,0.22894985112391453
123,1,1.0,0.692,0.033,-0.066,1.0,0.3019589106545628,0.6937984496124031,0.13991181721096524,0.24203818149355438
124,1,1.0,0.047,0.409,-0.047,1.0,0.500716674629718,0.43410852713178294,0.13841540176169964,0.24611226033338163
125,1,1.0,0.258,0.195,-0.258,2.0,0.500716674629718,0.43410852713178294,0.13841540176169964,0.24611226033338163
126,1,1.0,0.524,0.009,-0.46,1.0,0.5924510272336359,0.39922480620155043,0.5076569617783004,0.2460285253377421
129,1,1.0,0.736,0.013,-0.024,1.0,0.5771619684663163,0.4147286821705426,0.8880059018290005,0.2717545663260226
130,1,1.0,0.773,0.006,-0.543,2.0,0.4013377926421404,0.5930232558139534,0.5582943006272103,0.2886231988573629
131,1,0.998,0.706,0.237,-0.494,3.5,0.24462494027711418,0.7093023255813953,0.7814525522662574,0.7446032059108196
132,1,1.0,0.798,0.021,-0.043,1.0,0.4013377926421404,0.5930232558139534,0.5582943006272103,0.2886231988573629
136,1,0.999,0.008,0.169,-0.008,1.0,0.4357381748686096,0.6007751937984496,0.35618134152038294,0.2599395456377813
137,1,0.996,0.014,0.399,-0.014,2.0,0.4357381748686096,0.6007751937984496,0.35618134152038294,0.2599395456377813
138,1,0.997,0.235,0.204,-0.235,3.0,0.4357381748686096,0.6007751937984496,0.35618134152038294,0.2599395456377813
139,1,1.0,0.746,0.053,-0.521,3.5,0.4357381748686096,0.6007751937984496,0.35618134152038294,0.2599395456377813
140,1,0.995,0.196,0.242,-0.196,2.0,0.24462494027711418,0.7093023255813953,0.7814525522662574,0.7446032059108196
141,1,0.989,0.379,0.111,-0.378,3.5,0.4357381748686096,0.6007751937984496,0.35618134152038294,0.2599395456377813
142,1,1.0,0.048,0.393,-0.048,1.0,0.37840420449116097,0.6937984496124031,0.6498299358539388,0.2615776915119534
